AccessionNumber	OrganismName	GC	AvgN_ARSC	AvgC_ARSC	AvgS_ARSC	AvgO_ARSC
NC_019397	Gluconobacter oxydans H24	56.144765397	0.397220178497	2.87509996481	0.0355394900995	0.41222289754
NC_017507	Marinobacter adhaerens HP15	50.9956525218	0.351593625498	2.9042292369	0.0321023597916	0.440947747472
NC_008146	Mycobacterium sp. MCS	68.4534150517	0.357074647763	2.75801043515	0.028444606054	0.399836426948
NC_019396	Gluconobacter oxydans H24	56.2470991754	0.367845730846	2.8537684848	0.0346761908301	0.403274318199
NC_008148	Rubrobacter xylanophilus DSM 9941	70.4765840357	0.398002624334	2.82586541613	0.027546369824	0.383935140599
NC_017052	Synechocystis sp. PCC 6803 substr. PCC-N	47.7353174404	0.342254924697	2.98493359507	0.030037716955	0.430833004228
NC_019395	Propionibacterium acidipropionici ATCC 4875	68.7736620562	0.358398721573	2.7461988424	0.03125769182	0.404641943448
NC_017053	Streptococcus pyogenes MGAS1882	38.4761842732	0.324688632515	3.03509708968	0.0319438509867	0.448960657709
NC_017502	Mycoplasma gallisepticum str. R(high)	31.4674410861	0.343165649125	3.12833476294	0.0220831861682	0.477834401332
NC_019393	Alteromonas macleodii AltDE1	44.8951342896	0.331039694148	2.94442519985	0.0342826361014	0.452987629013
NC_017503	Mycoplasma gallisepticum str. F	31.3958912125	0.347324863683	3.16094065709	0.0221082786681	0.474193168922
NC_022608	Carnobacterium sp. WN1359	29.6546702725	0.324102564103	3.18461538462	0.0251282051282	0.509230769231
NC_019392	Chlamydia psittaci 01DC12	32.8611147888	0.373166522865	3.09059534081	0.0289042277826	0.470664365833
NC_008147	Mycobacterium sp. MCS	66.6083924212	0.397066204686	2.74296909153	0.0298236808445	0.408998915208
NC_009943	Desulfococcus oleovorans Hxd3	56.1686155784	0.345391566239	2.93368360905	0.0408505164665	0.411736484086
NC_005042	Prochlorococcus marinus subsp. marinus str. CCMP1375 (Prochlorococcus marinus SS120)	36.4421385659	0.351256685941	3.00575126365	0.0317016154626	0.438005557749
NC_005043	Chlamydophila pneumoniae TW-183	40.5762132576	0.334753911343	3.0379726206	0.0354709908735	0.433759778357
NC_008149	Yersinia pestis Nepal516	47.5840153134	0.354514074655	2.95226308093	0.0370240911811	0.418833842581
NC_014149	Planctomyces limnophilus DSM 3776	57.0305322886	0.389399107846	2.89574040059	0.0364733665705	0.44205370419
NC_014148	Planctomyces limnophilus DSM 3776	53.6616218658	0.365639368652	2.90573474512	0.0333219649103	0.427531560516
NC_019069	Escherichia coli	51.8453437605	0.371802386435	2.94986393134	0.038664433745	0.448293908311
NC_019068	Escherichia coli	51.0273972603	0.530120481928	2.88253012048	0.0451807228916	0.376506024096
NC_021999	Escherichia coli	51.5235457064	0.333333333333	3.0	0.0244897959184	0.47074829932
NC_019061	Escherichia coli	50.8891836162	0.417739786856	2.9668812907	0.0405935464772	0.434983718176
NC_019060	Escherichia coli	52.564516129	0.402470741222	2.85825747724	0.0422626788036	0.427178153446
NC_019063	Escherichia coli	51.5207819556	0.385864700115	2.95259814996	0.0372991176094	0.431774585447
NC_019062	Escherichia coli	55.4904051173	0.429624510481	2.98168624741	0.0321354526607	0.414766182907
NC_019065	Escherichia coli	51.4657260885	0.366563325879	2.93042285017	0.0409381988209	0.449379955275
NC_019067	Escherichia coli	42.2936468882	0.383646667266	3.09633894036	0.0376000719619	0.443195106594
NC_019066	Escherichia coli	53.1130300905	0.377212059187	2.93388341649	0.0405526416784	0.435844953307
NC_011658	Bacillus cereus AH187	35.5912188771	0.322239192257	3.08653538842	0.0366797545979	0.441193390844
NC_011652	Lactobacillus sakei	33.9593908629	0.414893617021	3.19858156028	0.0354609929078	0.485815602837
NC_011653	Thermosipho africanus TCF52B	30.8107923162	0.314129180034	3.22415960437	0.0270042878934	0.440907728311
NC_011650	Borrelia afzelii ACA-1	25.8338044093	0.315402781422	3.28089740226	0.0271582261874	0.420099711362
NC_011651	Borrelia afzelii ACA-1	28.9357449141	0.352470387365	3.18535908654	0.0264646249066	0.50304129762
NC_011656	Bacillus cereus AH187	35.4570207868	0.368821896073	3.15604918683	0.0364934549782	0.47179690599
NC_011657	Bacillus cereus AH187	34.9077968295	0.417613636364	3.27840909091	0.0497159090909	0.464488636364
NC_011654	Bacillus cereus AH187	31.0632160885	0.339887640449	3.18082865169	0.0414325842697	0.490168539326
NC_011655	Bacillus cereus AH187	34.1574040477	0.355486008837	3.12742154752	0.0351478418489	0.466409878781
NC_007509	Burkholderia lata	65.2748358683	0.369809943361	2.80984518565	0.0340742605412	0.37954185022
NC_007508	Xanthomonas campestris pv. vesicatoria str. 85-10 (Xanthomonas euvesicatoria str. 85-10)	64.7483443939	0.386017060734	2.81440932462	0.0304946655282	0.390012262236
NC_007505	Xanthomonas campestris pv. vesicatoria str. 85-10	59.7618301473	0.438696228918	2.86924388857	0.0339207883267	0.421072579117
NC_007504	Xanthomonas campestris pv. vesicatoria str. 85-10	56.5874730022	0.453831041257	2.77406679764	0.0353634577603	0.37721021611
NC_007507	Xanthomonas campestris pv. vesicatoria str. 85-10	60.4928466578	0.411822376009	2.8507881584	0.0327758554402	0.420376778162
NC_007506	Xanthomonas campestris pv. vesicatoria str. 85-10	60.7330255011	0.412256267409	2.88189415042	0.0352831940576	0.426183844011
NC_007503	Carboxydothermus hydrogenoformans Z-2901	42.0497018555	0.32770891998	3.08560092903	0.0300991108845	0.407211037449
NC_007502	uncultured bacterium	64.6193922864	0.393989983306	2.84736465538	0.0303481993799	0.412115430479
NC_004319	Corynebacterium efficiens YS-314	54.4160384113	0.406623894573	2.83700364141	0.0258366568406	0.453441997572
NC_001763	Staphylococcus aureus	31.208499336	0.361247947455	3.34811165846	0.0443349753695	0.405582922824
NC_004310	Brucella suis 1330	57.2140351476	0.360804810595	2.86803169851	0.0347736364482	0.401995957341
NC_001760	Prevotella ruminicola	49.1693290735	0.48948374761	3.18738049713	0.0267686424474	0.485659655832
NC_001767	Staphylococcus aureus	30.0968686641	0.362563237774	3.23440134907	0.035413153457	0.462900505902
NC_001766	Bacillus subtilis	38.0679867231	0.417412935323	3.21243781095	0.0373134328358	0.481094527363
NC_001765	Bacillus subtilis	40.6922679525	0.442835365854	3.14557926829	0.0365853658537	0.485518292683
NC_001764	Bacillus subtilis	36.9018757177	0.381780250348	3.19958275382	0.0368567454798	0.452016689847
NC_011249	Borrelia duttonii Ly	29.4800591666	0.321357645784	2.91388337245	0.027441776494	0.481494854667
NC_011248	Borrelia duttonii Ly	31.5677605849	0.315167548501	2.79841269841	0.0319223985891	0.470899470899
NC_011245	Borrelia duttonii Ly	28.8677980454	0.365044247788	3.18665579879	0.0284117373079	0.50733581742
NC_011244	Borrelia recurrentis A1	27.5181770627	0.330220528857	3.23577981978	0.0275456515011	0.452242464345
NC_011247	Borrelia duttonii Ly	26.570012936	0.353636249844	3.20200275379	0.0311928902241	0.492201777444
NC_011246	Borrelia recurrentis A1	26.1043917474	0.349863227823	3.19843688941	0.0336068776866	0.493942946463
NC_003911.	Ruegeria pomeroyi DSS-3	64.2229093669	0.353544343578	2.81857758512	0.0375235191942	0.394857731714
NC_010487	Escherichia coli SMS-3-5	43.0294530154	0.379876796715	3.19301848049	0.0492813141684	0.367556468172
NC_011869	Borrelia garinii Far04	27.3683959338	0.356385884409	3.21894460833	0.0362722604611	0.471211624604
NC_011868	Borrelia burgdorferi 156a	25.2557586958	0.350771388499	3.36956521739	0.024824684432	0.451192145863
NC_011861	Borrelia garinii PBr	24.319662706	0.334915924827	3.40830860534	0.0276953511375	0.433630069238
NC_011860	Borrelia garinii PBr	24.3917576961	0.34251431688	3.33433324243	0.036133078811	0.429915462231
NC_011863	Borrelia burgdorferi 156a	25.4154957848	0.380903700675	3.34962175424	0.027397260274	0.473522796974
NC_011862	Borrelia burgdorferi 156a	24.5517101115	0.383679943602	3.27529080014	0.0271413464928	0.5
NC_011865	Borrelia burgdorferi 156a	23.956524175	0.373668188737	3.3302891933	0.0319634703196	0.456240487062
NC_011864	Borrelia burgdorferi 156a	33.1801812989	0.293491361993	2.69887505022	0.0243069505826	0.444556046605
NC_011867	Borrelia garinii Far04	23.8052248491	0.353869731801	3.41103448276	0.0289655172414	0.459157088123
NC_011866	Borrelia burgdorferi 156a	25.3419647429	0.393939393939	3.33972894777	0.0283234353586	0.470077661032
NC_002120	Yersinia enterocolitica W22703	44.2079428186	0.364971681085	2.94971058692	0.0359743573785	0.447065413581
NC_002122	Shigella sonnei	50.2243064701	0.402880327509	2.94608524015	0.0406462460706	0.438153373785
NC_002123	Lactobacillus plantarum	38.5620915033	0.476340694006	3.16088328076	0.018927444795	0.441640378549
NC_002126	Pediococcus pentosaceus	34.1166231506	0.35718257646	3.11918443003	0.0326227988879	0.482113067655
NC_017169	Yersinia pestis A1122	50.2276270658	0.368367495275	2.90885303096	0.0392135484809	0.467727867423
NC_017166	Acinetobacter baumannii TCDC-AB0715	33.3399159308	0.341698178068	3.08053823111	0.0370279428375	0.482541865148
NC_002129	Staphylococcus aureus	31.643625192	0.437908496732	3.26797385621	0.031746031746	0.541549953315
NC_017164	Acinetobacter baumannii 1656-2	33.50329561	0.381875	3.18125	0.025	0.476875
NC_017165	Acinetobacter baumannii TCDC-AB0715	34.3717787195	0.41045812124	3.09486348913	0.0263766774641	0.501619620546
NC_012442	Brucella melitensis ATCC 23457	57.3452279932	0.351481978074	2.87888319268	0.0368136288351	0.385907405947
NC_017163	Acinetobacter baumannii 1656-2	33.4663066984	0.349609746811	3.09370835713	0.0374547877403	0.477869788692
NC_012440	Persephonella marina EX-H1	37.1563977114	0.335681772487	3.17794576671	0.0271792691328	0.445318448349
NC_012441	Brucella melitensis ATCC 23457	57.1520641896	0.360986627531	2.86668876333	0.03494063799	0.403118363525
NC_003997	Bacillus anthracis str. Ames	35.3768384516	0.320760822457	3.08683416764	0.0370841683658	0.440425219387
